id,description,severity,severityLevel,timeRaised,floodAreaID,county,riverOrSea
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFAVOL,Lower Avon and tributaries,Flood alert,3,2025-01-30T14:47:40,111WAFAVOL,"Bournemouth, Christchurch and Poole, Dorset Council, Hampshire",Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFHFW,Hundred Foot Washes in Cambridgeshire and Norfolk,Flood alert,3,2025-01-30T15:29:50,052WAFHFW,"Cambridgeshire, Norfolk","Old Bedford River, New Bedford River, Hundred Foot Drain, River Delph"
http://environment.data.gov.uk/flood-monitoring/id/floods/062WAF28LowColne,Lower River Colne and Frays River,Flood alert,3,2025-01-30T16:43:47,062WAF28LowColne,"Buckinghamshire, Greater London, Hertfordshire, Hillingdon, Slough, Surrey, Windsor and Maidenhead",River Colne
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF104,Tern and Perry catchments,Flood alert,3,2025-01-30T09:14:30,031WAF104,"Shropshire, Staffordshire, Telford and Wrekin","River Tern, River Perry"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF10Dikler,River Dikler from Condicote to Little Rissington,Flood alert,3,2025-01-30T10:13:47,061WAF10Dikler,Gloucestershire,River Dikler
http://environment.data.gov.uk/flood-monitoring/id/floods/033WAF201,Upper Avon River Swift and Clay Coton Brook,Warning no longer in force,4,2025-01-30T20:18:31,033WAF201,"Leicestershire, Warwickshire, West Northamptonshire","Avon, Swift, Claycoton"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF29Chertsey,Chertsey Bourne,Flood alert,3,2025-01-30T11:47:30,061WAF29Chertsey,"Bracknell Forest, Surrey, Windsor and Maidenhead","Chertsey Bourne, The Moat, Moat"
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFTOVE,River Tove in Northamptonshire,Flood alert,3,2025-01-30T15:57:25,052WAFTOVE,"Milton Keynes, West Northamptonshire",River Tove
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFLOBE,River Great Ouse in Cambridgeshire from Brampton to Earith,Flood alert,3,2025-01-30T15:57:05,052WAFLOBE,Cambridgeshire,River Great Ouse
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFLOWB,"River Great Ouse in Central Bedfordshire, Beds Borough and Cambridgeshire from Wyboston to Brampton",Flood alert,3,2025-01-30T15:56:52,052WAFLOWB,"Bedford, Cambridgeshire, Central Bedfordshire",River Great Ouse
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFSTOU,Upper Stour and tributaries,Warning no longer in force,4,2025-01-30T13:50:48,111WAFSTOU,"Dorset Council, Somerset, Wiltshire","River Stour, River Lodden, River Shreen"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23UpThTrbs,Tributaries on the Upper River Thames above Cricklade,Warning no longer in force,4,2025-01-30T10:51:27,061WAF23UpThTrbs,"Gloucestershire, Wiltshire","Flagham Brook, Swill Brook, Hankerton Brook, Hykemeres Stream, Derry Brook, River Key"
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFFROL,Lower Frome and tributaries,Flood alert,3,2025-01-30T14:47:55,111WAFFROL,Dorset Council,River Frome
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF116,River Lugg south of Leominster,Flood alert,3,2025-01-30T09:12:53,031WAF116,Herefordshire,River Lugg
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFMIDOUSE,"Middle River Great Ouse in Milton Keynes, Bedford Borough and Central Bedfordshire",Flood alert,3,2025-01-30T15:57:10,052WAFMIDOUSE,"Bedford, Central Bedfordshire, Milton Keynes",River Great Ouse
http://environment.data.gov.uk/flood-monitoring/id/floods/054WATBT1,"The tidal Rivers Bure, Ant and Thurne",Flood alert,3,2025-01-30T08:11:35,054WATBT1,Norfolk,"Bure, Ant, Thurne"
http://environment.data.gov.uk/flood-monitoring/id/floods/112WAFYPM,River Yeo and River Parrett Moors around Muchelney and Thorney,Flood alert,3,2025-01-30T11:20:58,112WAFYPM,Somerset,River Yeo
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF19BearBrk,"Bear Brook and tributaries in the Aylesbury area, including Wendover and Weston Turville",Flood alert,3,2025-01-30T10:56:57,061WAF19BearBrk,Buckinghamshire,Bear Brook
http://environment.data.gov.uk/flood-monitoring/id/floods/112WAFTMBA,Mid Bristol Avon area,Flood alert,3,2025-01-30T09:34:06,112WAFTMBA,"Bath and North East Somerset, Wiltshire",Bristol River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF113,River Blackwater,Warning no longer in force,4,2025-01-30T11:26:35,065WAF113,"Hampshire, Wiltshire",River Blackwater
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF17Ock,"River Ock from Watchfield to Abingdon, and also the Letcombe Brook at Wantage, Grove and East Hanney",Flood alert,3,2025-01-30T10:13:53,061WAF17Ock,Oxfordshire,"River Ock, Letcombe Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF451,Cuckmere River,Flood alert,3,2025-01-30T11:37:27,065WAF451,East Sussex,Cuckmere River
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF442,River Uck,Flood alert,3,2025-01-30T11:40:52,065WAF442,East Sussex,Uck
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF421,Western Rother,Warning no longer in force,4,2025-01-30T11:37:19,065WAF421,"Hampshire, West Sussex",Western Rother
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF214,River Severn in Gloucestershire,Flood alert,3,2025-01-30T09:35:08,031WAF214,"Gloucestershire, Worcestershire",Severn Estuary
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFUPOUSE,"Upper River Great Ouse in Northamptonshire, Oxfordshire and Buckinghamshire",Flood alert,3,2025-01-30T15:57:15,052WAFUPOUSE,"Buckinghamshire, Milton Keynes, Oxfordshire, West Northamptonshire",River Great Ouse
http://environment.data.gov.uk/flood-monitoring/id/floods/112WAFRYP,"Rivers Yeo and Parrett, downstream of Yeovil to Steart",Warning no longer in force,4,2025-01-30T11:38:08,112WAFRYP,"Dorset Council, Somerset","River Parrett, River Yeo, Cary, Sowy, Kings Sedgemoor Drain"
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF213,River Leadon catchment,Warning no longer in force,4,2025-01-30T09:35:38,031WAF213,"Gloucestershire, Herefordshire, Worcestershire","Leadon, Glynch"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF21PangSulm,River Pang from East Ilsley to Pangbourne and Sulham Brook,Flood alert,3,2025-01-30T10:57:09,061WAF21PangSulm,"Oxfordshire, West Berkshire","River Pang, Sulham Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF209,River Avon in Worcestershire,Flood alert,3,2025-01-30T09:35:17,031WAF209,"Gloucestershire, Warwickshire, Worcestershire",Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF433,River Adur East Branch,Warning no longer in force,4,2025-01-30T12:11:11,065WAF433,"East Sussex, West Sussex",Adur
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF441,Upper Ouse,Warning no longer in force,4,2025-01-30T11:18:52,065WAF441,"East Sussex, West Sussex",River Ouse
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23BsctKngs,River Thames and tributaries from Buscot Wick down to Kings Lock,Flood alert,3,2025-01-30T11:32:08,061WAF23BsctKngs,"Gloucestershire, Oxfordshire",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/033WAF206,River Dene in South East Warwickshire,Warning no longer in force,4,2025-01-30T09:00:26,033WAF206,Warwickshire,Dene
http://environment.data.gov.uk/flood-monitoring/id/floods/054WATBT2,The tidal River Yare from Thorpe St Andrew to Breydon Water,Flood alert,3,2025-01-30T08:16:13,054WATBT2,Norfolk,River Yare
http://environment.data.gov.uk/flood-monitoring/id/floods/054WATBT3,The tidal River Waveney from Ellingham to Breydon Water,Flood alert,3,2025-01-30T08:21:06,054WATBT3,"Norfolk, Suffolk",Waveney
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFSTOL,Lower Stour and tributaries,Flood alert,3,2025-01-30T14:48:00,111WAFSTOL,"Bournemouth, Christchurch and Poole, Dorset Council, Hampshire","River Allen, River Stour"
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF950,Lower River Derwent,Flood alert,3,2025-01-30T20:39:00,122WAF950,"East Riding of Yorkshire, North Yorkshire, York",River Derwent
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF24BlkWater,River Blackwater and The Cove Brook,Warning no longer in force,4,2025-01-30T17:39:26,061WAF24BlkWater,"Bracknell Forest, Hampshire, Surrey, Wokingham","River Blackwater, Cove Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Oxford,River Thames and tributaries in the Oxford area,Flood alert,3,2025-01-30T11:31:59,061WAF23Oxford,Oxfordshire,River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF949,Upper River Derwent,Flood alert,3,2025-01-30T20:39:08,122WAF949,"East Riding of Yorkshire, North Yorkshire","River Derwent, Sea Cut, River Hertford, Burniston Beck"
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWFSTOL823,Lower Stour at Redhill and Wheatplot Home Sites,Flood warning,2,2025-01-30T14:13:17,111FWFSTOL823,"Bournemouth, Christchurch and Poole, Dorset Council",River Stour
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWFSTOL800,Lower Stour from Sturminster Marshall to Christchurch,Flood warning,2,2025-01-30T11:08:58,111FWFSTOL800,"Bournemouth, Christchurch and Poole, Dorset Council",River Stour
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF112,Upper Teme,Warning no longer in force,4,2025-01-30T09:19:24,031WAF112,"Herefordshire, Shropshire","River Teme, River Onny, River Corve"
http://environment.data.gov.uk/flood-monitoring/id/floods/113WAFTW13,River Teign area,Warning no longer in force,4,2025-01-30T10:14:16,113WAFTW13,"Devon, Torbay","River Teign, River Bovey, River Lemon, River Kenn"
http://environment.data.gov.uk/flood-monitoring/id/floods/112WAFTWSS,West Somerset Streams,Flood alert,3,2025-01-30T10:57:28,112WAFTWSS,Somerset,"Horner Water, River Aller, Washford River, Hawkcombe Stream, Monksilver Stream, Doniford Stream"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF30UpperWey,Upper River Wey,Warning no longer in force,4,2025-01-30T09:18:09,061WAF30UpperWey,"Hampshire, Surrey, West Sussex",River Wey
http://environment.data.gov.uk/flood-monitoring/id/floods/063WAT23West,Tidal Thames riverside from Putney Bridge to Teddington Weir,Flood alert,3,2025-01-30T07:47:28,063WAT23West,"Greater London, Hammersmith and Fulham, Hounslow, Richmond upon Thames, Wandsworth",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF30LowerWey,Lower River Wey,Warning no longer in force,4,2025-01-30T17:39:21,061WAF30LowerWey,Surrey,"River Wey, East Clandon Stream"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF24LLoddon,Lower River Loddon,Flood alert,3,2025-01-30T11:47:26,061WAF24LLoddon,"Windsor and Maidenhead, Wokingham",River Loddon
http://environment.data.gov.uk/flood-monitoring/id/floods/111WATPOOH,Dorset coast at Poole Harbour,Flood alert,3,2025-01-30T16:41:12,111WATPOOH,"Bournemouth, Christchurch and Poole, Dorset Council",English Channel
http://environment.data.gov.uk/flood-monitoring/id/floods/111WATCHXH,Christchurch Harbour,Flood alert,3,2025-01-29T16:22:23,111WATCHXH,"Bournemouth, Christchurch and Poole",English Channel
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF114,Severn Vyrnwy confluence,Flood alert,3,2025-01-30T09:04:47,031WAF114,Shropshire,"River Severn, River Vyrnwy"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAB23Trowlock,River Thames at Trowlock Island,Flood alert,3,2025-01-30T17:48:57,061WAB23Trowlock,"Greater London, Richmond upon Thames",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Hampton,River Thames from Hampton and Thames Ditton to Teddington,Flood alert,3,2025-01-30T17:48:47,061WAF23Hampton,"Greater London, Kingston upon Thames, Richmond upon Thames, Surrey",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAT217,Severn estuary from Gloucester to Sharpness,Flood alert,3,2025-01-30T15:49:48,031WAT217,Gloucestershire,Severn Estuary
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF119,River Wye in Herefordshire,Warning no longer in force,4,2025-01-30T09:17:49,031WAF119,"Gloucestershire, Herefordshire",River Wye
http://environment.data.gov.uk/flood-monitoring/id/floods/112WAFTPM,Lower Tone and Parrett Moors,Flood alert,3,2025-01-30T13:45:42,112WAFTPM,Somerset,"River Tone, River Parrett"
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF120,River Wye in Gloucestershire,Warning no longer in force,4,2025-01-30T09:15:54,031WAF120,"Gloucestershire, Herefordshire",River Wye
http://environment.data.gov.uk/flood-monitoring/id/floods/013WAFDEE,River Dee catchment in England from Whitchurch to Chester,Warning no longer in force,4,2025-01-30T09:29:23,013WAFDEE,"Cheshire West and Chester, Shropshire",River Dee
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF108,River Severn in Worcestershire,Flood alert,3,2025-01-30T09:35:30,031WAF108,"Gloucestershire, Shropshire, Worcestershire",River Severn
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF124,Mansbridge and Riverside Park,Warning no longer in force,4,2025-01-30T13:41:58,065WAF124,"Hampshire, Southampton",River Itchen
http://environment.data.gov.uk/flood-monitoring/id/floods/031WAF201,Kempsey Village,Flood alert,3,2025-01-30T09:35:26,031WAF201,Worcestershire,"River Severn, Hatfield Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/034WAF414,River Trent in Derbyshire,Flood alert,3,2025-01-30T16:53:35,034WAF414,"Derby, Derbyshire, Leicestershire",River Trent
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF946,Upper River Ouse,Warning no longer in force,4,2025-01-30T08:57:28,122WAF946,"North Yorkshire, York","River Ouse, Burdyke, Holgate Beck, Blue Beck, River Foss, The Fleet"
http://environment.data.gov.uk/flood-monitoring/id/floods/031FWFSE525,"River Severn at Severn Ham, Tewkesbury",Flood warning,2,2025-01-30T09:30:45,031FWFSE525,"Gloucestershire, Worcestershire",River Severn
http://environment.data.gov.uk/flood-monitoring/id/floods/031FWFSE550,River Severn at Apperley and The Leigh,Flood warning,2,2025-01-29T08:01:03,031FWFSE550,Gloucestershire,River Severn
http://environment.data.gov.uk/flood-monitoring/id/floods/112WATSOM1,Somerset coast at Porlock Weir,Flood alert,3,2025-01-30T15:39:31,112WATSOM1,Somerset,Bristol Channel
http://environment.data.gov.uk/flood-monitoring/id/floods/111FAGWDGW,Groundwater flooding in the West of Dorset,Flood alert,3,2025-01-27T13:52:24,111FAGWDGW,Dorset Council,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/111FAGCCGW,Groundwater flooding in the Cranborne Chase area,Flood alert,3,2025-01-28T13:37:35,111FAGCCGW,"Dorset Council, Hampshire, Wiltshire",Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFBOU,River Bourne and tributaries,Flood alert,3,2025-01-30T14:48:03,111WAFBOU,"Hampshire, Wiltshire",River Bourne
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFAVOU,Upper Hampshire Avon and tributaries,Warning no longer in force,4,2025-01-30T15:07:48,111WAFAVOU,Wiltshire,Hampshire River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF140,Lymington River,Warning no longer in force,4,2025-01-30T11:40:06,065WAF140,Hampshire,Lymington River
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFWYLE,River Wylye and tributaries,Flood alert,3,2025-01-30T09:54:00,111WAFWYLE,Wiltshire,Wylye
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFPIDD,River Piddle and tributaries,Flood alert,3,2025-01-30T13:45:29,111WAFPIDD,Dorset Council,"River Piddle, River Trent"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF14UChrwell,River Cherwell from Charwelton to just above Upper Heyford,Warning no longer in force,4,2025-01-30T10:55:56,061WAF14UChrwell,"Oxfordshire, Warwickshire, West Northamptonshire","River Cherwell, Highfurlong Brook, Ashby Brook, Culworth Brook, Hanwell Brook, Chacombe Brook, Marston Brook, Thenford Brook, Farthinghoe Brook, Charlton Brook, River Swere, Deddington Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF22LowerKen,River Kennet from Thatcham down to Reading,Flood alert,3,2025-01-30T10:56:35,061WAF22LowerKen,"Reading, West Berkshire, Wokingham",River Kennet
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF24Twyford,Lower River Loddon at the River Thames confluence at Twyford,Flood alert,3,2025-01-30T11:47:09,061WAF24Twyford,"Oxfordshire, Wokingham","River Loddon, River Thames"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF22UpperKen,River Kennet and its tributaries from Berwick Bassett down to Newbury,Flood alert,3,2025-01-30T10:56:45,061WAF22UpperKen,"Swindon, West Berkshire, Wiltshire","River Kennet, River Og, River Aldbourne, Froxfield Stream, River Dun, River Shalbourne"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF22Lambourn,River Lambourn and its tributaries from Upper Lambourn down to Newbury,Flood alert,3,2025-01-30T10:58:44,061WAF22Lambourn,West Berkshire,"River Lambourn, Great Shefford Stream, Winterbourne Stream"
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWFAVOM511,"Middle Hampshire Avon at Britford, Salisbury",Flood warning,2,2025-01-30T10:29:09,111FWFAVOM511,Wiltshire,Hampshire River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWFAVOM510,Middle Hampshire Avon from Salisbury to Ringwood,Flood warning,2,2025-01-30T14:47:47,111FWFAVOM510,"Dorset Council, Hampshire, Wiltshire",Hampshire River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/112FWFCUR10A,Curry Moor and Hay Moor,Flood warning,2,2025-01-30T13:40:42,112FWFCUR10A,Somerset,River Tone
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23ShipWar,"River Thames for Shiplake, Lower Shiplake and Wargrave",Flood alert,3,2025-01-30T11:46:32,061WAF23ShipWar,"Oxfordshire, Wokingham",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23RdngSonn,River Thames from Mapledurham to Sonning,Flood alert,3,2025-01-30T11:31:14,061WAF23RdngSonn,"Oxfordshire, Reading, West Berkshire, Wokingham",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23PrlyPang,River Thames from Pangbourne to Purley,Flood alert,3,2025-01-30T11:31:22,061WAF23PrlyPang,"Oxfordshire, West Berkshire",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23WallGor,River Thames and its tributaries from Days Lock to above Pangbourne,Flood alert,3,2025-01-30T11:31:40,061WAF23WallGor,"Oxfordshire, West Berkshire","River Thames, Lady Brook, Ewelme Stream, Mill Brook, West Hagbourne Stream, Hakkas Brook, Cholsey Brook, Kibble Ditch"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Hurley,River Thames from Hurley to Cookham,Flood alert,3,2025-01-30T11:46:21,061WAF23Hurley,"Buckinghamshire, Windsor and Maidenhead",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23HenMed,"River Thames for Henley, Remenham, Medmenham and its tributaries",Flood alert,3,2025-01-30T11:46:28,061WAF23HenMed,"Buckinghamshire, Oxfordshire, Windsor and Maidenhead, Wokingham","River Thames, Assendon Stream, Hambledon Brook"
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Shepprtn,River Thames from Shepperton to Molesey,Flood alert,3,2025-01-30T11:46:37,061WAF23Shepprtn,"Greater London, Richmond upon Thames, Surrey",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF422,River Lox,Warning no longer in force,4,2025-01-30T13:42:28,065WAF422,"Surrey, West Sussex",Loxwood Stream
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF23Datchet,River Thames from Datchet to Shepperton Green,Flood alert,3,2025-01-30T11:46:12,061WAF23Datchet,"Slough, Surrey, Windsor and Maidenhead",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/111WAFAVOM,Middle Hampshire Avon and tributaries,Flood alert,3,2025-01-30T09:40:15,111WAFAVOM,"Dorset Council, Hampshire, Wiltshire",Hampshire River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAF29Addstne,"Windle Brook and Hale, Mill and Addlestone Bournes",Warning no longer in force,4,2025-01-30T17:39:14,061WAF29Addstne,"Bracknell Forest, Surrey","Windle Brook, Hale Bourne, Mill Bourne, Addlestone Bourne"
http://environment.data.gov.uk/flood-monitoring/id/floods/054WAFSF4AC,The Rivers Deben and Lark,Warning no longer in force,4,2025-01-30T08:39:57,054WAFSF4AC,Suffolk,"River Deben, River Lark"
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF423,Upper Arun,Warning no longer in force,4,2025-01-30T11:15:02,065WAF423,"Surrey, West Sussex",Arun
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF424,Lower Arun,Warning no longer in force,4,2025-01-30T13:51:24,065WAF424,West Sussex,Arun
http://environment.data.gov.uk/flood-monitoring/id/floods/061WAB23DitIslnd,River Thames at Thames Ditton Island,Flood alert,3,2025-01-30T17:48:56,061WAB23DitIslnd,"Greater London, Richmond upon Thames, Surrey",River Thames
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWGIWE5,Groundwater flooding for the Iwerne,Flood warning,2,2025-01-28T10:40:16,111FWGIWE5,Dorset Council,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/065FWF5104,Fittleworth on the Western River Rother,Warning no longer in force,4,2025-01-30T12:05:27,065FWF5104,West Sussex,West Sussex River Rother
http://environment.data.gov.uk/flood-monitoring/id/floods/062WAF28Colnbrk,Colne Brook at Iver and Colnbrook,Flood alert,3,2025-01-30T16:43:55,062WAF28Colnbrk,"Buckinghamshire, Greater London, Hillingdon, Slough, Surrey, Windsor and Maidenhead",Colne Brook
http://environment.data.gov.uk/flood-monitoring/id/floods/111FAGSPGW,Groundwater flooding in the Salisbury Plain area,Flood alert,3,2025-01-28T13:37:24,111FAGSPGW,"Hampshire, Wiltshire",Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFRHEE,"River Rhee in Central Bedfordshire, Hertfordshire and Cambridgeshire",Warning no longer in force,4,2025-01-30T15:57:38,052WAFRHEE,"Cambridgeshire, Central Bedfordshire, Hertfordshire",River Rhee
http://environment.data.gov.uk/flood-monitoring/id/floods/052WAFLOCAM,Lower River Cam in Cambridgeshire,Warning no longer in force,4,2025-01-30T09:42:59,052WAFLOCAM,Cambridgeshire,River Cam
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWGSWDENE1,Groundwater flooding in the South Wiltshire Downs - The Dene,Flood warning,2,2025-01-30T12:23:44,111FWGSWDENE1,Wiltshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWFAVOM503,"Middle Hampshire Avon at The Close and West Harnham, Salisbury",Flood warning,2,2025-01-30T08:25:27,111FWFAVOM503,Wiltshire,Hampshire River Avon
http://environment.data.gov.uk/flood-monitoring/id/floods/034WAF405,Tributaries in Leicester City,Flood alert,3,2025-01-30T16:50:12,034WAF405,"Leicester, Leicestershire","Willow Brook, Evington Brook, Bushby Brook, Thurnby Brook, Scraptoft Brook, Melton Brook, Braunstone Brook"
